number,season,episode,airdate,title,tvmaze link
# Linea de comentario
81,4,22,13 May 93,"Krusty Gets Kancelled","https://www.tvmaze.com/episodes/5078/the-simpsons-4x22-krusty-gets-kancelled"
82,5,1,30 Sep 93,"Homer's Barbershop Quartet","https://www.tvmaze.com/episodes/5079/the-simpsons-5x01-homers-barbershop-quartet"
83,5,2,07 Oct 93,"Cape Feare","https://www.tvmaze.com/episodes/5080/the-simpsons-5x02-cape-feare"
84,5,3,14 Oct 93,"Homer Goes to College","https://www.tvmaze.com/episodes/5081/the-simpsons-5x03-homer-goes-to-college"
85,5,4,21 Oct 93,"Rosebud","https://www.tvmaze.com/episodes/5082/the-simpsons-5x04-rosebud"
86,5,5,28 Oct 93,"Treehouse of Horror IV","https://www.tvmaze.com/episodes/5083/the-simpsons-5x05-treehouse-of-horror-iv"
87,5,6,04 Nov 93,"Marge on the Lam","https://www.tvmaze.com/episodes/5084/the-simpsons-5x06-marge-on-the-lam"
88,5,7,11 Nov 93,"Bart's Inner Child","https://www.tvmaze.com/episodes/5085/the-simpsons-5x07-barts-inner-child"
89,5,8,18 Nov 93,"Boy-Scoutz 'n the Hood","https://www.tvmaze.com/episodes/5086/the-simpsons-5x08-boy-scoutz-n-the-hood"
90,5,9,09 Dec 93,"The Last Temptation of Homer","https://www.tvmaze.com/episodes/5087/the-simpsons-5x09-the-last-temptation-of-homer"
91,5,10,16 Dec 93,"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)","https://www.tvmaze.com/episodes/5088/the-simpsons-5x10-pringfield-or-how-i-learned-to-stop-worrying-and-love-legalized-gambling"
92,5,11,06 Jan 94,"Homer the Vigilante","https://www.tvmaze.com/episodes/5089/the-simpsons-5x11-homer-the-vigilante"
93,5,12,03 Feb 94,"Bart Gets Famous","https://www.tvmaze.com/episodes/5090/the-simpsons-5x12-bart-gets-famous"
94,5,13,10 Feb 94,"Homer and Apu","https://www.tvmaze.com/episodes/5091/the-simpsons-5x13-homer-and-apu"
95,5,14,17 Feb 94,"Lisa vs. Malibu Stacy","https://www.tvmaze.com/episodes/5092/the-simpsons-5x14-lisa-vs-malibu-stacy"
96,5,15,24 Feb 94,"Deep Space Homer","https://www.tvmaze.com/episodes/5093/the-simpsons-5x15-deep-space-homer"
97,5,16,17 Mar 94,"Homer Loves Flanders","https://www.tvmaze.com/episodes/5094/the-simpsons-5x16-homer-loves-flanders"
98,5,17,31 Mar 94,"Bart Gets an Elephant","https://www.tvmaze.com/episodes/5095/the-simpsons-5x17-bart-gets-an-elephant"
99,5,18,14 Apr 94,"Burns' Heir","https://www.tvmaze.com/episodes/5096/the-simpsons-5x18-burns-heir"
100,5,19,28 Apr 94,"Sweet Seymour Skinner's Baadasssss Song","https://www.tvmaze.com/episodes/5097/the-simpsons-5x19-sweet-seymour-skinners-baadasssss-song"
101,5,20,05 May 94,"The Boy Who Knew Too Much","https://www.tvmaze.com/episodes/5098/the-simpsons-5x20-the-boy-who-knew-too-much"
102,5,21,12 May 94,"Lady Bouvier's Lover","https://www.tvmaze.com/episodes/5099/the-simpsons-5x21-lady-bouviers-lover"
103,5,22,19 May 94,"Secrets of a Successful Marriage","https://www.tvmaze.com/episodes/5100/the-simpsons-5x22-secrets-of-a-successful-marriage"
104,6,1,04 Sep 94,"Bart of Darkness","https://www.tvmaze.com/episodes/5101/the-simpsons-6x01-bart-of-darkness"
105,6,2,11 Sep 94,"Lisa's Rival","https://www.tvmaze.com/episodes/5102/the-simpsons-6x02-lisas-rival"
106,6,3,25 Sep 94,"Another Simpsons Clip Show","https://www.tvmaze.com/episodes/5103/the-simpsons-6x03-another-simpsons-clip-show"
107,6,4,02 Oct 94,"Itchy & Scratchy Land","https://www.tvmaze.com/episodes/5104/the-simpsons-6x04-itchy-scratchy-land"
108,6,5,09 Oct 94,"Sideshow Bob Roberts","https://www.tvmaze.com/episodes/5105/the-simpsons-6x05-sideshow-bob-roberts"
109,6,6,30 Oct 94,"Treehouse of Horror V","https://www.tvmaze.com/episodes/5106/the-simpsons-6x06-treehouse-of-horror-v"
110,6,7,06 Nov 94,"Bart's Girlfriend","https://www.tvmaze.com/episodes/5107/the-simpsons-6x07-barts-girlfriend"
111,6,8,13 Nov 94,"Lisa on Ice","https://www.tvmaze.com/episodes/5108/the-simpsons-6x08-lisa-on-ice"
112,6,9,27 Nov 94,"Homer Badman","https://www.tvmaze.com/episodes/5109/the-simpsons-6x09-homer-badman"
113,6,10,04 Dec 94,"Grandpa vs. Sexual Inadequacy","https://www.tvmaze.com/episodes/5110/the-simpsons-6x10-grandpa-vs-sexual-inadequacy"
114,6,11,18 Dec 94,"Fear of Flying","https://www.tvmaze.com/episodes/5111/the-simpsons-6x11-fear-of-flying"
115,6,12,08 Jan 95,"Homer the Great","https://www.tvmaze.com/episodes/5112/the-simpsons-6x12-homer-the-great"
116,6,13,22 Jan 95,"And Maggie Makes Three","https://www.tvmaze.com/episodes/5113/the-simpsons-6x13-and-maggie-makes-three"
117,6,14,05 Feb 95,"Bart's Comet","https://www.tvmaze.com/episodes/5114/the-simpsons-6x14-barts-comet"
118,6,15,12 Feb 95,"Homie the Clown","https://www.tvmaze.com/episodes/5115/the-simpsons-6x15-homie-the-clown"
119,6,16,19 Feb 95,"Bart vs. Australia","https://www.tvmaze.com/episodes/5116/the-simpsons-6x16-bart-vs-australia"
120,6,17,26 Feb 95,"Homer vs. Patty and Selma","https://www.tvmaze.com/episodes/5117/the-simpsons-6x17-homer-vs-patty-and-selma"
