number,season,episode,airdate,title,tvmaze link
# Linea de comentario
405,19,5,04 Nov 07,"Treehouse of Horror XVIII","https://www.tvmaze.com/episodes/5402/the-simpsons-19x05-treehouse-of-horror-xviii"
406,19,6,11 Nov 07,"Little Orphan Millie","https://www.tvmaze.com/episodes/5403/the-simpsons-19x06-little-orphan-millie"
407,19,7,18 Nov 07,"Husbands and Knives","https://www.tvmaze.com/episodes/5404/the-simpsons-19x07-husbands-and-knives"
408,19,8,25 Nov 07,"Funeral for a Fiend","https://www.tvmaze.com/episodes/5405/the-simpsons-19x08-funeral-for-a-fiend"
409,19,9,16 Dec 07,"Eternal Moonshine of the Simpson Mind","https://www.tvmaze.com/episodes/5406/the-simpsons-19x09-eternal-moonshine-of-the-simpson-mind"
410,19,10,06 Jan 08,"E Pluribus Wiggum","https://www.tvmaze.com/episodes/5407/the-simpsons-19x10-e-pluribus-wiggum"
411,19,11,27 Jan 08,"That 90's Show","https://www.tvmaze.com/episodes/5408/the-simpsons-19x11-that-90s-show"
412,19,12,17 Feb 08,"Love, Springfieldian Style","https://www.tvmaze.com/episodes/5409/the-simpsons-19x12-love-springfieldian-style"
413,19,13,02 Mar 08,"The Debarted","https://www.tvmaze.com/episodes/5410/the-simpsons-19x13-the-debarted"
414,19,14,09 Mar 08,"Dial 'N' for Nerder","https://www.tvmaze.com/episodes/5411/the-simpsons-19x14-dial-n-for-nerder"
415,19,15,30 Mar 08,"Smoke on the Daughter","https://www.tvmaze.com/episodes/5412/the-simpsons-19x15-smoke-on-the-daughter"
416,19,16,13 Apr 08,"Papa Don't Leech","https://www.tvmaze.com/episodes/5413/the-simpsons-19x16-papa-dont-leech"
417,19,17,27 Apr 08,"Apocalypse Cow","https://www.tvmaze.com/episodes/5414/the-simpsons-19x17-apocalypse-cow"
418,19,18,04 May 08,"Any Given Sundance","https://www.tvmaze.com/episodes/5415/the-simpsons-19x18-any-given-sundance"
419,19,19,11 May 08,"Mona Leaves-a","https://www.tvmaze.com/episodes/5416/the-simpsons-19x19-mona-leaves-a"
420,19,20,18 May 08,"All About Lisa","https://www.tvmaze.com/episodes/5417/the-simpsons-19x20-all-about-lisa"
421,20,1,28 Sep 08,"Sex, Pies and Idiot Scrapes","https://www.tvmaze.com/episodes/5418/the-simpsons-20x01-sex-pies-and-idiot-scrapes"
422,20,2,05 Oct 08,"Lost Verizon","https://www.tvmaze.com/episodes/5419/the-simpsons-20x02-lost-verizon"
423,20,3,19 Oct 08,"Double, Double, Boy in Trouble","https://www.tvmaze.com/episodes/5420/the-simpsons-20x03-double-double-boy-in-trouble"
424,20,4,02 Nov 08,"Treehouse of Horror XIX","https://www.tvmaze.com/episodes/5421/the-simpsons-20x04-treehouse-of-horror-xix"
425,20,5,09 Nov 08,"Dangerous Curves","https://www.tvmaze.com/episodes/5422/the-simpsons-20x05-dangerous-curves"
426,20,6,16 Nov 08,"Homer and Lisa Exchange Cross Words","https://www.tvmaze.com/episodes/5423/the-simpsons-20x06-homer-and-lisa-exchange-cross-words"
427,20,7,30 Nov 08,"Mypods and Boomsticks","https://www.tvmaze.com/episodes/5424/the-simpsons-20x07-mypods-and-boomsticks"
428,20,8,07 Dec 08,"The Burns and the Bees","https://www.tvmaze.com/episodes/5425/the-simpsons-20x08-the-burns-and-the-bees"
429,20,9,25 Jan 09,"Lisa the Drama Queen","https://www.tvmaze.com/episodes/5426/the-simpsons-20x09-lisa-the-drama-queen"
430,20,10,15 Feb 09,"Take My Life, Please","https://www.tvmaze.com/episodes/5427/the-simpsons-20x10-take-my-life-please"
431,20,11,01 Mar 09,"How the Test Was Won","https://www.tvmaze.com/episodes/5428/the-simpsons-20x11-how-the-test-was-won"
432,20,12,08 Mar 09,"No Loan Again, Naturally","https://www.tvmaze.com/episodes/5429/the-simpsons-20x12-no-loan-again-naturally"
433,20,13,15 Mar 09,"Gone Maggie Gone","https://www.tvmaze.com/episodes/5430/the-simpsons-20x13-gone-maggie-gone"
434,20,14,22 Mar 09,"In the Name of the Grandfather","https://www.tvmaze.com/episodes/5431/the-simpsons-20x14-in-the-name-of-the-grandfather"
435,20,15,29 Mar 09,"Wedding for Disaster","https://www.tvmaze.com/episodes/5432/the-simpsons-20x15-wedding-for-disaster"
436,20,16,05 Apr 09,"Eeny Teeny Maya Moe","https://www.tvmaze.com/episodes/5433/the-simpsons-20x16-eeny-teeny-maya-moe"
437,20,17,19 Apr 09,"The Good, the Sad and the Drugly","https://www.tvmaze.com/episodes/5434/the-simpsons-20x17-the-good-the-sad-and-the-drugly"
438,20,18,26 Apr 09,"Father Knows Worst","https://www.tvmaze.com/episodes/5435/the-simpsons-20x18-father-knows-worst"
439,20,19,03 May 09,"Waverly Hills, 9021-D'Oh","https://www.tvmaze.com/episodes/5436/the-simpsons-20x19-waverly-hills-9021-doh"
440,20,20,10 May 09,"Four Great Women and a Manicure","https://www.tvmaze.com/episodes/5437/the-simpsons-20x20-four-great-women-and-a-manicure"
441,20,21,17 May 09,"Coming to Homerica","https://www.tvmaze.com/episodes/5438/the-simpsons-20x21-coming-to-homerica"
442,21,1,27 Sep 09,"Homer the Whopper","https://www.tvmaze.com/episodes/5439/the-simpsons-21x01-homer-the-whopper"
443,21,2,04 Oct 09,"Bart Gets a 'Z'","https://www.tvmaze.com/episodes/5440/the-simpsons-21x02-bart-gets-a-z"
444,21,3,11 Oct 09,"The Great Wife Hope","https://www.tvmaze.com/episodes/5441/the-simpsons-21x03-the-great-wife-hope"
445,21,4,18 Oct 09,"Treehouse of Horror XX","https://www.tvmaze.com/episodes/5442/the-simpsons-21x04-treehouse-of-horror-xx"
446,21,5,15 Nov 09,"The Devil Wears Nada","https://www.tvmaze.com/episodes/5443/the-simpsons-21x05-the-devil-wears-nada"
447,21,6,22 Nov 09,"Pranks and Greens","https://www.tvmaze.com/episodes/5444/the-simpsons-21x06-pranks-and-greens"
448,21,7,29 Nov 09,"Rednecks and Broomsticks","https://www.tvmaze.com/episodes/5445/the-simpsons-21x07-rednecks-and-broomsticks"
449,21,8,13 Dec 09,"O Brother, Where Bart Thou?","https://www.tvmaze.com/episodes/5446/the-simpsons-21x08-o-brother-where-bart-thou"
450,21,9,03 Jan 10,"Thursdays with Abie","https://www.tvmaze.com/episodes/5447/the-simpsons-21x09-thursdays-with-abie"
451,21,10,10 Jan 10,"Once Upon a Time in Springfield","https://www.tvmaze.com/episodes/5448/the-simpsons-21x10-once-upon-a-time-in-springfield"
452,21,11,31 Jan 10,"Million Dollar Maybe","https://www.tvmaze.com/episodes/5449/the-simpsons-21x11-million-dollar-maybe"
453,21,12,14 Feb 10,"Boy Meets Curl","https://www.tvmaze.com/episodes/5450/the-simpsons-21x12-boy-meets-curl"
454,21,13,21 Feb 10,"The Color Yellow","https://www.tvmaze.com/episodes/5451/the-simpsons-21x13-the-color-yellow"
455,21,14,14 Mar 10,"Postcards from the Wedge","https://www.tvmaze.com/episodes/5452/the-simpsons-21x14-postcards-from-the-wedge"
456,21,15,21 Mar 10,"Stealing First Base","https://www.tvmaze.com/episodes/5453/the-simpsons-21x15-stealing-first-base"
457,21,16,28 Mar 10,"The Greatest Story Ever Doh'd","https://www.tvmaze.com/episodes/5454/the-simpsons-21x16-the-greatest-story-ever-dohd"
458,21,17,11 Apr 10,"American History X-cellent","https://www.tvmaze.com/episodes/5455/the-simpsons-21x17-american-history-x-cellent"
459,21,18,18 Apr 10,"Chief of Hearts","https://www.tvmaze.com/episodes/5456/the-simpsons-21x18-chief-of-hearts"
460,21,19,25 Apr 10,"The Squirt and the Whale","https://www.tvmaze.com/episodes/5457/the-simpsons-21x19-the-squirt-and-the-whale"
461,21,20,02 May 10,"To Surveil with Love","https://www.tvmaze.com/episodes/5458/the-simpsons-21x20-to-surveil-with-love"
462,21,21,09 May 10,"Moe Letter Blues","https://www.tvmaze.com/episodes/5459/the-simpsons-21x21-moe-letter-blues"
463,21,22,16 May 10,"The Bob Next Door","https://www.tvmaze.com/episodes/5460/the-simpsons-21x22-the-bob-next-door"
464,21,23,23 May 10,"Judge Me Tender","https://www.tvmaze.com/episodes/5461/the-simpsons-21x23-judge-me-tender"
465,22,1,26 Sep 10,"Elementary School Musical","https://www.tvmaze.com/episodes/5462/the-simpsons-22x01-elementary-school-musical"
466,22,2,03 Oct 10,"Loan-a-Lisa","https://www.tvmaze.com/episodes/5463/the-simpsons-22x02-loan-a-lisa"
467,22,3,10 Oct 10,"Money Bart","https://www.tvmaze.com/episodes/5464/the-simpsons-22x03-money-bart"
468,22,4,07 Nov 10,"Treehouse of Horror XXI","https://www.tvmaze.com/episodes/5465/the-simpsons-22x04-treehouse-of-horror-xxi"
469,22,5,14 Nov 10,"Lisa Simpson, This Isn't Your Life","https://www.tvmaze.com/episodes/5466/the-simpsons-22x05-lisa-simpson-this-isnt-your-life"
470,22,6,21 Nov 10,"The Fool Monty","https://www.tvmaze.com/episodes/5467/the-simpsons-22x06-the-fool-monty"
471,22,7,28 Nov 10,"How Munched is That Birdie in the Window","https://www.tvmaze.com/episodes/5468/the-simpsons-22x07-how-munched-is-that-birdie-in-the-window"
472,22,8,05 Dec 10,"The Fight Before Christmas","https://www.tvmaze.com/episodes/5469/the-simpsons-22x08-the-fight-before-christmas"
473,22,9,12 Dec 10,"Donnie Fatso","https://www.tvmaze.com/episodes/5470/the-simpsons-22x09-donnie-fatso"
474,22,10,09 Jan 11,"Moms I'd Like to Forget","https://www.tvmaze.com/episodes/5471/the-simpsons-22x10-moms-id-like-to-forget"
475,22,11,16 Jan 11,"Flaming Moe","https://www.tvmaze.com/episodes/5472/the-simpsons-22x11-flaming-moe"
476,22,12,23 Jan 11,"Homer the Father","https://www.tvmaze.com/episodes/5473/the-simpsons-22x12-homer-the-father"
477,22,13,13 Feb 11,"The Blue and the Gray","https://www.tvmaze.com/episodes/5474/the-simpsons-22x13-the-blue-and-the-gray"
478,22,14,20 Feb 11,"Angry Dad: The Movie","https://www.tvmaze.com/episodes/5475/the-simpsons-22x14-angry-dad-the-movie"
479,22,15,06 Mar 11,"The Scorpion's Tale","https://www.tvmaze.com/episodes/5476/the-simpsons-22x15-the-scorpions-tale"
480,22,16,13 Mar 11,"A Midsummer's Nice Dream","https://www.tvmaze.com/episodes/5477/the-simpsons-22x16-a-midsummers-nice-dream"
481,22,17,27 Mar 11,"Love is a Many Strangled Thing","https://www.tvmaze.com/episodes/5478/the-simpsons-22x17-love-is-a-many-strangled-thing"
482,22,18,10 Apr 11,"The Great Simpsina","https://www.tvmaze.com/episodes/5479/the-simpsons-22x18-the-great-simpsina"
483,22,19,01 May 11,"The Real Housewives of Fat Tony","https://www.tvmaze.com/episodes/5480/the-simpsons-22x19-the-real-housewives-of-fat-tony"
484,22,20,08 May 11,"Homer Scissorhands","https://www.tvmaze.com/episodes/5481/the-simpsons-22x20-homer-scissorhands"
485,22,21,15 May 11,"500 Keys","https://www.tvmaze.com/episodes/5482/the-simpsons-22x21-500-keys"
486,22,22,22 May 11,"The Ned-Liest Catch","https://www.tvmaze.com/episodes/5483/the-simpsons-22x22-the-ned-liest-catch"
487,23,1,25 Sep 11,"The Falcon and the D'ohman","https://www.tvmaze.com/episodes/5484/the-simpsons-23x01-the-falcon-and-the-dohman"
488,23,2,02 Oct 11,"Bart Stops to Smell the Roosevelts","https://www.tvmaze.com/episodes/5485/the-simpsons-23x02-bart-stops-to-smell-the-roosevelts"
489,23,3,30 Oct 11,"Treehouse of Horror XXII","https://www.tvmaze.com/episodes/5486/the-simpsons-23x03-treehouse-of-horror-xxii"
490,23,4,06 Nov 11,"Replaceable You","https://www.tvmaze.com/episodes/5487/the-simpsons-23x04-replaceable-you"
491,23,5,13 Nov 11,"The Food Wife","https://www.tvmaze.com/episodes/5488/the-simpsons-23x05-the-food-wife"
492,23,6,20 Nov 11,"The Book Job","https://www.tvmaze.com/episodes/5489/the-simpsons-23x06-the-book-job"
493,23,7,27 Nov 11,"The Man in the Blue Flannel Pants","https://www.tvmaze.com/episodes/5490/the-simpsons-23x07-the-man-in-the-blue-flannel-pants"
494,23,8,04 Dec 11,"The Ten-Per-Cent Solution","https://www.tvmaze.com/episodes/5491/the-simpsons-23x08-the-ten-per-cent-solution"
495,23,9,11 Dec 11,"Holidays of Future Passed","https://www.tvmaze.com/episodes/5492/the-simpsons-23x09-holidays-of-future-passed"
496,23,10,08 Jan 12,"Politically Inept, with Homer Simpson","https://www.tvmaze.com/episodes/5493/the-simpsons-23x10-politically-inept-with-homer-simpson"
497,23,11,15 Jan 12,"The D'oh-cial Network","https://www.tvmaze.com/episodes/5494/the-simpsons-23x11-the-doh-cial-network"
498,23,12,29 Jan 12,"Moe Goes from Rags to Riches","https://www.tvmaze.com/episodes/5495/the-simpsons-23x12-moe-goes-from-rags-to-riches"
499,23,13,12 Feb 12,"The Daughter Also Rises","https://www.tvmaze.com/episodes/5496/the-simpsons-23x13-the-daughter-also-rises"
500,23,14,19 Feb 12,"At Long Last Leave","https://www.tvmaze.com/episodes/5497/the-simpsons-23x14-at-long-last-leave"
501,23,15,04 Mar 12,"Exit Through the Kwik-E-Mart","https://www.tvmaze.com/episodes/5498/the-simpsons-23x15-exit-through-the-kwik-e-mart"
502,23,16,11 Mar 12,"How I Wet Your Mother","https://www.tvmaze.com/episodes/5499/the-simpsons-23x16-how-i-wet-your-mother"
503,23,17,18 Mar 12,"Them, Robot","https://www.tvmaze.com/episodes/5500/the-simpsons-23x17-them-robot"
504,23,18,15 Apr 12,"Beware My Cheating Bart","https://www.tvmaze.com/episodes/5501/the-simpsons-23x18-beware-my-cheating-bart"
505,23,19,29 Apr 12,"A Totally Fun Thing That Bart Will Never Do Again","https://www.tvmaze.com/episodes/5502/the-simpsons-23x19-a-totally-fun-thing-that-bart-will-never-do-again"
506,23,20,06 May 12,"The Spy Who Learned Me","https://www.tvmaze.com/episodes/5503/the-simpsons-23x20-the-spy-who-learned-me"
507,23,21,13 May 12,"Ned 'n' Edna's Blend","https://www.tvmaze.com/episodes/5504/the-simpsons-23x21-ned-n-ednas-blend"
508,23,22,20 May 12,"Lisa Goes Gaga","https://www.tvmaze.com/episodes/5505/the-simpsons-23x22-lisa-goes-gaga"
509,24,1,30 Sep 12,"Moonshine River","https://www.tvmaze.com/episodes/5506/the-simpsons-24x01-moonshine-river"
510,24,2,07 Oct 12,"Treehouse of Horror XXIII","https://www.tvmaze.com/episodes/5507/the-simpsons-24x02-treehouse-of-horror-xxiii"
511,24,3,04 Nov 12,"Adventures in Baby-Getting","https://www.tvmaze.com/episodes/5508/the-simpsons-24x03-adventures-in-baby-getting"
512,24,4,11 Nov 12,"Gone Abie Gone","https://www.tvmaze.com/episodes/5509/the-simpsons-24x04-gone-abie-gone"
513,24,5,18 Nov 12,"Penny-Wiseguys","https://www.tvmaze.com/episodes/5510/the-simpsons-24x05-penny-wiseguys"
514,24,6,25 Nov 12,"A Tree Grows in Springfield","https://www.tvmaze.com/episodes/5511/the-simpsons-24x06-a-tree-grows-in-springfield"
515,24,7,09 Dec 12,"The Day the Earth Stood Cool","https://www.tvmaze.com/episodes/5512/the-simpsons-24x07-the-day-the-earth-stood-cool"
516,24,8,16 Dec 12,"To Cur with Love","https://www.tvmaze.com/episodes/5513/the-simpsons-24x08-to-cur-with-love"
517,24,9,06 Jan 13,"Homer Goes to Prep School","https://www.tvmaze.com/episodes/5514/the-simpsons-24x09-homer-goes-to-prep-school"
518,24,10,13 Jan 13,"A Test Before Trying","https://www.tvmaze.com/episodes/5515/the-simpsons-24x10-a-test-before-trying"
519,24,11,27 Jan 13,"The Changing of the Guardian","https://www.tvmaze.com/episodes/5516/the-simpsons-24x11-the-changing-of-the-guardian"
520,24,12,10 Feb 13,"Love is a Many-Splintered Thing","https://www.tvmaze.com/episodes/5517/the-simpsons-24x12-love-is-a-many-splintered-thing"
521,24,13,17 Feb 13,"Hardly Kirk-Ing","https://www.tvmaze.com/episodes/5518/the-simpsons-24x13-hardly-kirk-ing"
522,24,14,03 Mar 13,"Gorgeous Grampa","https://www.tvmaze.com/episodes/5519/the-simpsons-24x14-gorgeous-grampa"
523,24,15,10 Mar 13,"Black-eyed, Please","https://www.tvmaze.com/episodes/5520/the-simpsons-24x15-black-eyed-please"
524,24,16,17 Mar 13,"Dark Knight Court","https://www.tvmaze.com/episodes/5521/the-simpsons-24x16-dark-knight-court"
525,24,17,14 Apr 13,"What Animated Women Want","https://www.tvmaze.com/episodes/5522/the-simpsons-24x17-what-animated-women-want"
526,24,18,28 Apr 13,"Pulpit Friction","https://www.tvmaze.com/episodes/5523/the-simpsons-24x18-pulpit-friction"
527,24,19,05 May 13,"Whiskey Business","https://www.tvmaze.com/episodes/5524/the-simpsons-24x19-whiskey-business"
528,24,20,12 May 13,"The Fabulous Faker Boy","https://www.tvmaze.com/episodes/5525/the-simpsons-24x20-the-fabulous-faker-boy"
529,24,21,19 May 13,"The Saga of Carl","https://www.tvmaze.com/episodes/5526/the-simpsons-24x21-the-saga-of-carl"
530,24,22,19 May 13,"Dangers on a Train","https://www.tvmaze.com/episodes/5527/the-simpsons-24x22-dangers-on-a-train"
531,25,1,29 Sep 13,"Homerland","https://www.tvmaze.com/episodes/5528/the-simpsons-25x01-homerland"
532,25,2,06 Oct 13,"Treehouse of Horror XXIV","https://www.tvmaze.com/episodes/5529/the-simpsons-25x02-treehouse-of-horror-xxiv"
533,25,3,03 Nov 13,"Four Regrettings and a Funeral","https://www.tvmaze.com/episodes/5530/the-simpsons-25x03-four-regrettings-and-a-funeral"
534,25,4,10 Nov 13,"YOLO","https://www.tvmaze.com/episodes/5531/the-simpsons-25x04-yolo"
535,25,5,17 Nov 13,"Labor Pains","https://www.tvmaze.com/episodes/5532/the-simpsons-25x05-labor-pains"
536,25,6,24 Nov 13,"The Kid is All Right","https://www.tvmaze.com/episodes/5533/the-simpsons-25x06-the-kid-is-all-right"
537,25,7,08 Dec 13,"Yellow Subterfuge","https://www.tvmaze.com/episodes/5534/the-simpsons-25x07-yellow-subterfuge"
538,25,8,15 Dec 13,"White Christmas Blues","https://www.tvmaze.com/episodes/5535/the-simpsons-25x08-white-christmas-blues"
539,25,9,05 Jan 14,"Steal This Episode","https://www.tvmaze.com/episodes/5536/the-simpsons-25x09-steal-this-episode"
540,25,10,12 Jan 14,"Married to the Blob","https://www.tvmaze.com/episodes/5537/the-simpsons-25x10-married-to-the-blob"
541,25,11,26 Jan 14,"Specs and the City","https://www.tvmaze.com/episodes/5538/the-simpsons-25x11-specs-and-the-city"
542,25,12,09 Mar 14,"Diggs","https://www.tvmaze.com/episodes/5539/the-simpsons-25x12-diggs"
543,25,13,09 Mar 14,"The Man Who Grew Too Much","https://www.tvmaze.com/episodes/5540/the-simpsons-25x13-the-man-who-grew-too-much"
544,25,14,16 Mar 14,"The Winter of His Content","https://www.tvmaze.com/episodes/5541/the-simpsons-25x14-the-winter-of-his-content"
545,25,15,23 Mar 14,"The War of Art","https://www.tvmaze.com/episodes/5542/the-simpsons-25x15-the-war-of-art"
546,25,16,30 Mar 14,"You Don't Have to Live Like a Referee","https://www.tvmaze.com/episodes/5543/the-simpsons-25x16-you-dont-have-to-live-like-a-referee"
547,25,17,06 Apr 14,"Luca$","https://www.tvmaze.com/episodes/5544/the-simpsons-25x17-luca"
548,25,18,13 Apr 14,"Days of Future Future","https://www.tvmaze.com/episodes/5545/the-simpsons-25x18-days-of-future-future"
549,25,19,27 Apr 14,"What to Expect When Bart's Expecting","https://www.tvmaze.com/episodes/5546/the-simpsons-25x19-what-to-expect-when-barts-expecting"
550,25,20,04 May 14,"Brick Like Me","https://www.tvmaze.com/episodes/5547/the-simpsons-25x20-brick-like-me"
551,25,21,11 May 14,"Pay Pal","https://www.tvmaze.com/episodes/5548/the-simpsons-25x21-pay-pal"
552,25,22,18 May 14,"The Yellow Badge of Cowardge","https://www.tvmaze.com/episodes/5549/the-simpsons-25x22-the-yellow-badge-of-cowardge"
553,26,1,28 Sep 14,"Clown in the Dumps","https://www.tvmaze.com/episodes/5550/the-simpsons-26x01-clown-in-the-dumps"
554,26,2,05 Oct 14,"The Wreck of the Relationship","https://www.tvmaze.com/episodes/5551/the-simpsons-26x02-the-wreck-of-the-relationship"
555,26,3,12 Oct 14,"Super Franchise Me","https://www.tvmaze.com/episodes/5552/the-simpsons-26x03-super-franchise-me"
556,26,4,19 Oct 14,"Treehouse of Horror XXV","https://www.tvmaze.com/episodes/14022/the-simpsons-26x04-treehouse-of-horror-xxv"
557,26,5,02 Nov 14,"Opposites A-frack","https://www.tvmaze.com/episodes/14068/the-simpsons-26x05-opposites-a-frack"
558,26,6,09 Nov 14,"Simpsorama","https://www.tvmaze.com/episodes/5553/the-simpsons-26x06-simpsorama"
559,26,7,16 Nov 14,"Blazed and Confused","https://www.tvmaze.com/episodes/44334/the-simpsons-26x07-blazed-and-confused"
560,26,8,23 Nov 14,"Covercraft","https://www.tvmaze.com/episodes/44335/the-simpsons-26x08-covercraft"
561,26,9,07 Dec 14,"I Won't Be Home for Christmas","https://www.tvmaze.com/episodes/46241/the-simpsons-26x09-i-wont-be-home-for-christmas"
562,26,10,04 Jan 15,"The Man Who Came to Be Dinner","https://www.tvmaze.com/episodes/46242/the-simpsons-26x10-the-man-who-came-to-be-dinner"
563,26,11,11 Jan 15,"Bart's New Friend","https://www.tvmaze.com/episodes/46244/the-simpsons-26x11-barts-new-friend"
564,26,12,25 Jan 15,"The Musk Who Fell to Earth","https://www.tvmaze.com/episodes/117538/the-simpsons-26x12-the-musk-who-fell-to-earth"
565,26,13,08 Feb 15,"Walking Big & Tall","https://www.tvmaze.com/episodes/117737/the-simpsons-26x13-walking-big-tall"
566,26,14,15 Feb 15,"My Fare Lady","https://www.tvmaze.com/episodes/122957/the-simpsons-26x14-my-fare-lady"
567,26,15,01 Mar 15,"The Princess Guide","https://www.tvmaze.com/episodes/129033/the-simpsons-26x15-the-princess-guide"
568,26,16,08 Mar 15,"Sky Police","https://www.tvmaze.com/episodes/139705/the-simpsons-26x16-sky-police"
569,26,17,15 Mar 15,"Waiting for Duffman","https://www.tvmaze.com/episodes/141540/the-simpsons-26x17-waiting-for-duffman"
570,26,18,19 Apr 15,"Peeping Mom","https://www.tvmaze.com/episodes/151350/the-simpsons-26x18-peeping-mom"
571,26,19,26 Apr 15,"The Kids Are All Fight","https://www.tvmaze.com/episodes/151351/the-simpsons-26x19-the-kids-are-all-fight"
572,26,20,03 May 15,"Let's Go Fly a Coot","https://www.tvmaze.com/episodes/151352/the-simpsons-26x20-lets-go-fly-a-coot"
573,26,21,10 May 15,"Bull-E","https://www.tvmaze.com/episodes/151353/the-simpsons-26x21-bull-e"
574,26,22,17 May 15,"Mathlete's Feat","https://www.tvmaze.com/episodes/151354/the-simpsons-26x22-mathletes-feat"
575,27,1,27 Sep 15,"Every Man's Dream","https://www.tvmaze.com/episodes/157376/the-simpsons-27x01-every-mans-dream"
576,27,2,04 Oct 15,"Cue Detective","https://www.tvmaze.com/episodes/215192/the-simpsons-27x02-cue-detective"
577,27,3,11 Oct 15,"Puffless","https://www.tvmaze.com/episodes/236849/the-simpsons-27x03-puffless"
578,27,4,18 Oct 15,"Halloween of Horror","https://www.tvmaze.com/episodes/277904/the-simpsons-27x04-halloween-of-horror"
579,27,5,25 Oct 15,"Treehouse of Horror XXVI","https://www.tvmaze.com/episodes/316118/the-simpsons-27x05-treehouse-of-horror-xxvi"
580,27,6,08 Nov 15,"Friend with Benefit","https://www.tvmaze.com/episodes/373059/the-simpsons-27x06-friend-with-benefit"
581,27,7,22 Nov 15,"Lisa with an 'S'","https://www.tvmaze.com/episodes/401180/the-simpsons-27x07-lisa-with-an-s"
582,27,8,06 Dec 15,"Paths of Glory","https://www.tvmaze.com/episodes/402675/the-simpsons-27x08-paths-of-glory"
583,27,9,13 Dec 15,"Barthood","https://www.tvmaze.com/episodes/402676/the-simpsons-27x09-barthood"
584,27,10,03 Jan 16,"The Girl Code","https://www.tvmaze.com/episodes/443339/the-simpsons-27x10-the-girl-code"
585,27,11,10 Jan 16,"Teenage Mutant Milk-caused Hurdles","https://www.tvmaze.com/episodes/443340/the-simpsons-27x11-teenage-mutant-milk-caused-hurdles"
586,27,12,17 Jan 16,"Much Apu About Something","https://www.tvmaze.com/episodes/443341/the-simpsons-27x12-much-apu-about-something"
587,27,13,14 Feb 16,"Love is in the N2-O2-Ar-CO2-Ne-He-CH4","https://www.tvmaze.com/episodes/502651/the-simpsons-27x13-love-is-in-the-n2-o2-ar-co2-ne-he-ch4"
588,27,14,21 Feb 16,"Gal of Constant Sorrow","https://www.tvmaze.com/episodes/616297/the-simpsons-27x14-gal-of-constant-sorrow"
589,27,15,06 Mar 16,"Lisa the Veterinarian","https://www.tvmaze.com/episodes/609065/the-simpsons-27x15-lisa-the-veterinarian"
590,27,16,13 Mar 16,"The Marge-ian Chronicles","https://www.tvmaze.com/episodes/610696/the-simpsons-27x16-the-marge-ian-chronicles"
591,27,17,03 Apr 16,"The Burns Cage","https://www.tvmaze.com/episodes/637992/the-simpsons-27x17-the-burns-cage"
592,27,18,10 Apr 16,"How Lisa Got Her Marge Back","https://www.tvmaze.com/episodes/652359/the-simpsons-27x18-how-lisa-got-her-marge-back"
593,27,19,24 Apr 16,"Fland Canyon","https://www.tvmaze.com/episodes/669848/the-simpsons-27x19-fland-canyon"
594,27,20,08 May 16,"To Courier with Love","https://www.tvmaze.com/episodes/669849/the-simpsons-27x20-to-courier-with-love"
595,27,21,15 May 16,"Simprovised","https://www.tvmaze.com/episodes/639648/the-simpsons-27x21-simprovised"
596,27,22,22 May 16,"Orange is the New Yellow","https://www.tvmaze.com/episodes/540718/the-simpsons-27x22-orange-is-the-new-yellow"
597,28,1,25 Sep 16,"Monty Burns' Fleeing Circus","https://www.tvmaze.com/episodes/819653/the-simpsons-28x01-monty-burns-fleeing-circus"
598,28,2,02 Oct 16,"Friends and Family","https://www.tvmaze.com/episodes/911625/the-simpsons-28x02-friends-and-family"
599,28,3,09 Oct 16,"The Town","https://www.tvmaze.com/episodes/924338/the-simpsons-28x03-the-town"
600,28,4,16 Oct 16,"Treehouse of Horror XXVII","https://www.tvmaze.com/episodes/894503/the-simpsons-28x04-treehouse-of-horror-xxvii"
601,28,5,23 Oct 16,"Trust But Clarify","https://www.tvmaze.com/episodes/924339/the-simpsons-28x05-trust-but-clarify"
602,28,6,06 Nov 16,"There Will Be Buds","https://www.tvmaze.com/episodes/958656/the-simpsons-28x06-there-will-be-buds"
603,28,7,13 Nov 16,"Havana Wild Weekend","https://www.tvmaze.com/episodes/967333/the-simpsons-28x07-havana-wild-weekend"
604,28,8,20 Nov 16,"Dad Behavior","https://www.tvmaze.com/episodes/974912/the-simpsons-28x08-dad-behavior"
605,28,9,04 Dec 16,"The Last Traction Hero","https://www.tvmaze.com/episodes/981369/the-simpsons-28x09-the-last-traction-hero"
606,28,10,11 Dec 16,"The Nightmare After Krustmas","https://www.tvmaze.com/episodes/981062/the-simpsons-28x10-the-nightmare-after-krustmas"
607,28,11,08 Jan 17,"Pork & Burns","https://www.tvmaze.com/episodes/1009805/the-simpsons-28x11-pork-burns"
608,28,12,15 Jan 17,"The Great Phatsby, Part One (60 min)","https://www.tvmaze.com/episodes/1030556/the-simpsons-28x12-the-great-phatsby-part-one"
609,28,13,15 Jan 17,"The Great Phatsby, Part Two","https://www.tvmaze.com/episodes/1080933/the-simpsons-28x13-the-great-phatsby-part-two"
610,28,14,12 Feb 17,"Fatzcarraldo","https://www.tvmaze.com/episodes/1044448/the-simpsons-28x14-fatzcarraldo"
611,28,15,19 Feb 17,"The Cad and the Hat","https://www.tvmaze.com/episodes/1046173/the-simpsons-28x15-the-cad-and-the-hat"
